,full_name_1,full_name_2,broken_name,gender
44,Ήρα,Ήρα,Ή-ρα,Female
45,Ήρων,Ήρων,Ή-ρων,Male
46,Ίακχη,Ίακχη,Ία-κχη,Female
47,Ίακχος,Ίακχο,Ία-κχος,Male
48,Ίριδα,Ίριδα,Ί-ρι-δα,Female
49,Ίρις,Ίρις,Ί-ρις,Male
50,Ίων,Ίων,Ί-ων,Male
51,Ίωνας,Ίωνα,Ί-ω-νας,Male
52,Όθων,Όθων,Ό-θων,Male
53,Όθωνας,Όθωνα,Ό-θω-νας,Male
54,Όλγα,Όλγα,Όλ-γα,Female
55,Όλια,Όλια,Ό-λια,Female
56,Όμηρος,Όμηρε,Ό-μη-ρος,Male
57,Όσιος,Όσιε,Ό-σι-ος,Male
58,Ύπατος,Ύπατε,Ύ-πα-τος,Male
59,Αέτης,Αέτη,Α-έ-της,Male
60,Αέτιος,Αέτιε,Α-έ-τι-ος,Male
61,Αίθαν,Αίθαν,Αί-θαν,Male
62,Αίολος,Αίολε,Αί-ο-λος,Male
63,Αίσωπος,Αίσωπε,Αί-σω-πος,Male
64,Ααρών,Ααρών,Α-α-ρών,Male
65,Αβέρκιος,Αβέρκιε,Α-βέρ-κι-ος,Male
66,Αβερκία,Αβερκία,Α-βερ-κία,Female
67,Αβραάμ,Αβραάμ,Α-βρα-άμ,Male
68,Αβραμία,Αβραμία,Α-βρα-μία,Female
69,Αγάθων,Αγάθων,Α-γά-θων,Male
70,Αγάπη,Αγάπη,Α-γά-πη,Female
71,Αγάπιος,Αγάπιε,Α-γά-πι-ος,Male
72,Αγαθάγγελος,Αγαθάγγελε,Α-γα-θάγ-γε-λος,Male
73,Αγαθή,Αγαθή,Α-γα-θή,Female
74,Αγαθία,Αγαθία,Α-γα-θία,Female
75,Αγαθίτσα,Αγαθίτσα,Α-γα-θί-τσα,Female
76,Αγαθαγγέλα,Αγαθαγγέλα,Α-γα-θαγ-γέ-λα,Female
77,Αγαθαγγέλη,Αγαθαγγέλη,Α-γα-θαγ-γέ-λη,Female
78,Αγαθοκλέας,Αγαθοκλέα,Α-γα-θο-κλέ-ας,Male
79,Αγαθοκλής,Αγαθοκλής,Α-γα-θο-κλής,Male
80,Αγαθονίκη,Αγαθονίκη,Α-γα-θο-νί-κη,Female
81,Αγαθούλα,Αγαθούλα,Α-γα-θού-λα,Female
82,Αγαθόκλεια,Αγαθόκλεια,Α-γα-θό-κλεια,Female
83,Αγαθόκλεος,Αγαθόκλεε,Α-γα-θό-κλε-ος,Male
84,Αγαθόνικος,Αγαθόνικε,Α-γα-θό-νι-κος,Male
85,Αγαθώ,Αγαθώ,Α-γα-θώ,Female
86,Αγαμέμνονας,Αγαμέμνονα,Α-γα-μέ-μνο-νας,Male
87,Αγαμέμνων,Αγαμέμνων,Α-γα-μέ-μνων,Male
88,Αγαπητός,Αγαπητέ,Α-γα-πη-τός,Male
89,Αγγέλα,Αγγέλα,Αγ-γέ-λα,Female
90,Αγγέλλω,Αγγέλλω,Αγ-γέλ-λω,Female
91,Αγγελής,Αγγελής,Αγ-γε-λής,Male
92,Αγγελίνα,Αγγελίνα,Αγ-γε-λί-να,Female
93,Αγγελική,Αγγελική,Αγ-γε-λι-κή,Female
94,Αγησίλαος,Αγησίλαε,Α-γη-σί-λα-ος,Male
95,Αγλαΐα,Αγλαΐα,Α-γλα-ΐ-α,Female
96,Αγνή,Αγνή,Α-γνή,Female
97,Αγνούλα,Αγνούλα,Α-γνού-λα,Female
98,Αγορίτσα,Αγορίτσα,Α-γο-ρί-τσα,Female
99,Αγριππίνα,Αγριππίνα,Α-γριπ-πί-να,Female
100,Αγόρω,Αγόρω,Α-γό-ρω,Female
101,Αδάμ,Αδάμ,Α-δάμ,Male
102,Αδάμας,Αδάμα,Α-δά-μας,Male
103,Αδάμης,Αδάμη,Α-δά-μης,Male
104,Αδάμος,Αδάμο,Α-δά-μος,Male
105,Αδαμάντιος,Αδαμάντιε,Α-δα-μά-ντι-ος,Male
106,Αδαμαντία,Αδαμαντία,Α-δα-μα-ντία,Female
107,Αδριάνα,Αδριάνα,Α-δριά-να,Female
108,Αδριανή,Αδριανή,Α-δρια-νή,Female
109,Αδριανός,Αδριανέ,Α-δρια-νός,Male
110,Αετίνα,Αετίνα,Α-ε-τί-να,Female
111,Αετίς,Αετίς,Α-ε-τίς,Male
112,Αετίων,Αετίων,Α-ε-τί-ων,Male
113,Αετός,Αετέ,Α-ε-τός,Male
